ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,ni.4,keep
milioni_di_euro anno_2025 milioni_di_euro anno_2026 ,11,0.0002906746,21.30253,0.6445383,0.0111,0.0014,0.0111,0.0007,0
euro annui decorrere anno_2024 ,13,0.0003435246,20.35301,0.6388202,0.0080,0.0026,0.0048,0.0026,0
milioni_di_euro anno_2024 milioni_di_euro anno_2025 ,22,0.0005813493,20.34691,0.6543421,0.0111,0.0026,0.0111,0.0014,0
euro anno_2024 euro anno_2025 ,10,0.0002642497,20.17749,0.6293017,0.0080,0.0026,0.0080,0.0014,0
decreto ministro economia finanze ,13,0.0003435246,20.05385,0.6353968,0.0043,0.0061,0.0035,0.0035,0
milioni_di_euro annui decorrere anno_2024 ,13,0.0003435246,19.86897,0.6332483,0.0111,0.0026,0.0048,0.0026,0
anno_2024 milioni_di_euro anno_2025 milioni_di_euro ,13,0.0003435246,19.58791,0.6299334,0.0026,0.0111,0.0014,0.0111,0
autorizzata spesa euro anno_2023 ,26,0.0006870491,19.27396,0.6471842,0.0032,0.0050,0.0080,0.0085,0
sono apportate modificazioni parole ,24,0.0006341992,19.16984,0.6434426,0.0163,0.0015,0.0083,0.0053,0
spesa euro annui decorrere ,10,0.0002642497,19.01989,0.6154169,0.0050,0.0080,0.0026,0.0048,0
euro annui decorrere anno_2023 ,17,0.0004492244,19.00913,0.6309162,0.0080,0.0026,0.0048,0.0085,0
autorizzata spesa milioni_di_euro anno_2023 ,24,0.0006341992,18.67444,0.6374135,0.0032,0.0050,0.0111,0.0085,0
anno_2023 euro annui decorrere ,10,0.0002642497,18.24360,0.6055080,0.0085,0.0080,0.0026,0.0048,0
milioni_di_euro anno_2023 milioni_di_euro anno_2024 ,31,0.0008191740,18.21143,0.6397838,0.0111,0.0085,0.0111,0.0026,0
autorizzata spesa milioni_di_euro anni ,10,0.0002642497,18.16487,0.6044744,0.0032,0.0050,0.0111,0.0050,0
milioni_di_euro annui decorrere anno_2023 ,13,0.0003435246,18.13807,0.6118348,0.0111,0.0026,0.0048,0.0085,0
euro anno_2023 euro anno_2024 ,14,0.0003699495,18.03267,0.6126673,0.0080,0.0085,0.0080,0.0026,0
anno_2023 euro anno_2024 euro ,13,0.0003435246,17.92576,0.6090348,0.0085,0.0080,0.0026,0.0080,0
ministro economia finanze sono ,11,0.0002906746,17.90602,0.6038249,0.0061,0.0035,0.0035,0.0163,0
anno_2023 milioni_di_euro anno_2024 milioni_di_euro ,25,0.0006606242,17.90109,0.6288813,0.0085,0.0111,0.0026,0.0111,0
anno_2023 milioni_di_euro annui decorrere ,11,0.0002906746,17.89706,0.6037051,0.0085,0.0111,0.0026,0.0048,0
euro anno_2023 euro annui ,10,0.0002642497,17.51780,0.5957704,0.0080,0.0085,0.0080,0.0026,0
parole sono sostituite parole ,12,0.0003170996,17.45200,0.6002454,0.0053,0.0163,0.0039,0.0053,1
spesa euro anno_2023 euro ,17,0.0004492244,17.35817,0.6095196,0.0050,0.0080,0.0085,0.0080,0
dotazione milioni_di_euro anno_2023 milioni_di_euro ,12,0.0003170996,17.23261,0.5972059,0.0020,0.0111,0.0085,0.0111,0
milioni_di_euro anno_2023 milioni_di_euro anni ,25,0.0006606242,16.92364,0.6156845,0.0111,0.0085,0.0111,0.0050,0
milioni_di_euro anno_2023 milioni_di_euro annui ,10,0.0002642497,16.54972,0.5820084,0.0111,0.0085,0.0111,0.0026,0
spesa milioni_di_euro anno_2023 milioni_di_euro ,12,0.0003170996,15.88759,0.5775128,0.0050,0.0111,0.0085,0.0111,0
