ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,ni.4,keep
milioni_di_euro annui decorrere anno_2021 ,35,0.0007039421,18.61837,0.6400127,0.0128,0.0032,0.0048,0.0088,0
anno_2021 euro annui decorrere ,23,0.0004625905,18.59647,0.6266829,0.0088,0.0085,0.0032,0.0048,0
sono apportate modificazioni parole ,15,0.0003016895,18.27633,0.6098009,0.0162,0.0014,0.0085,0.0049,0
autorizzata spesa milioni_di_euro anno_2021 ,21,0.0004223652,18.13840,0.6180536,0.0024,0.0053,0.0128,0.0088,0
sono apportate modificazioni periodo ,18,0.0003620274,17.92731,0.6106256,0.0162,0.0014,0.0085,0.0076,0
euro anno_2021 euro annui ,23,0.0004625905,17.75999,0.6158545,0.0085,0.0088,0.0085,0.0032,0
euro anno_2021 euro anno_2022 ,19,0.0003821400,17.74917,0.6098788,0.0085,0.0088,0.0085,0.0027,0
milioni_di_euro anno_2021 milioni_di_euro anno_2022 ,42,0.0008447305,17.72592,0.6345384,0.0128,0.0088,0.0128,0.0027,0
euro annui decorrere anno_2021 ,12,0.0002413516,17.65787,0.5950530,0.0085,0.0032,0.0048,0.0088,0
anno_2021 euro anno_2022 euro ,16,0.0003218021,17.50124,0.6013598,0.0088,0.0085,0.0027,0.0085,0
parole sono sostituite parole ,11,0.0002212389,17.45951,0.5898160,0.0049,0.0162,0.0031,0.0049,0
fine autorizzata spesa milioni_di_euro ,10,0.0002011263,17.41234,0.5864330,0.0069,0.0024,0.0053,0.0128,0
fondo dotazione milioni_di_euro anni ,10,0.0002011263,17.21580,0.5836772,0.0078,0.0031,0.0128,0.0043,0
anno_2021 milioni_di_euro anno_2022 milioni_di_euro ,29,0.0005832663,17.19158,0.6154107,0.0088,0.0128,0.0027,0.0128,0
spesa euro anno_2021 euro ,25,0.0005028158,17.16139,0.6103114,0.0053,0.0085,0.0088,0.0085,0
ministro economia finanze sono ,13,0.0002614642,17.13115,0.5900732,0.0062,0.0045,0.0041,0.0162,0
fondo dotazione milioni_di_euro anno_2021 ,17,0.0003419147,16.94129,0.5953636,0.0078,0.0031,0.0128,0.0088,0
spesa milioni_di_euro anno_2021 milioni_di_euro ,16,0.0003218021,15.34990,0.5695391,0.0053,0.0128,0.0088,0.0128,0
